,drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
2652,Hydrocortisone,DB00741,Rheumatoid Arthritis,C0003873,,Approved,,
2655,Hydrocortisone,DB00741,Inflammatory Bowel Diseases,C0021390,,Approved,,
2656,Hydrocortisone,DB00741,Keratitis,C0022568,,Approved,,
2659,Hydrocortisone,DB00741,Synovitis,C0039103,,Approved,,
2662,Hydrocortisone,DB00741,Angioedema,C0002994,,Approved,,
2668,Hydrocortisone,DB00741,Psoriasis,C0033860,,Approved,,
2670,Hydrocortisone,DB00741,Adrenogenital disorder,C0701163,,Approved,,
2673,Hydrocortisone,DB00741,Pemphigus,C0030807,,Approved,,
2674,Hydrocortisone,DB00741,Dermatitis Herpetiformis,C0011608,,Approved,,
2677,Hydrocortisone,DB00741,Trichinellosis,C0040896,,Approved,,
2682,Hydrocortisone,DB00741,Seborrheic dermatitis,C0036508,,Approved,,
2683,Hydrocortisone,DB00741,Rosacea,C0035854,,Approved,,
2684,Hydrocortisone,DB00741,Granuloma Annulare,C0085074,,Approved,,
2686,Hydrocortisone,DB00741,Hodgkin Disease,C0019829,,Approved,,
2692,Hydrocortisone,DB00741,Thyroiditis,C0040147,,Approved,,
2693,Hydrocortisone,DB00741,"Dermatitis, Atopic",C0011615,,Approved,,
2702,Hydrocortisone,DB00741,"Arthritis, Psoriatic",C0003872,,Approved,,
2712,Hydrocortisone,DB00741,Addison Disease,C0001403,,Approved,,
2719,Hydrocortisone,DB00741,Contact Dermatitis,C0011616,,Approved,,
2726,Hydrocortisone,DB00741,Sarcoidosis,C0036202,,Approved,,
2728,Hydrocortisone,DB00741,Musculoskeletal Diseases,C0026857,,Approved,,
2729,Hydrocortisone,DB00741,Ankylosing spondylitis,C0038013,,Approved,,
2746,Scopolamine,DB00747,Peptic Ulcer,C0030920,,Approved,,
2755,Scopolamine,DB00747,Common Cold,C0009443,,Approved,,
2762,Carbinoxamine,DB00748,Common Cold,C0009443,,Approved,,
2767,Etodolac,DB00749,Rheumatoid Arthritis,C0003873,,Approved,,
2824,Meropenem,DB00760,Streptococcal meningitis,C0154639,,Approved,,
2832,Methimazole,DB00763,Hyperthyroidism,C0020550,,Approved,,
2836,Mometasone,DB00764,Seborrheic dermatitis,C0036508,,Approved,,
2843,Mometasone,DB00764,Contact Dermatitis,C0011616,,Approved,,
2845,Mometasone,DB00764,Granuloma Annulare,C0085074,,Approved,,
2846,Mometasone,DB00764,Intrinsic asthma,C0155880,,Approved,,
2884,Malathion,DB00772,Pediculus capitis infestation,C0030757,,Approved,,
2885,Etoposide,DB00773,Small cell carcinoma of lung,C0149925,,Approved,,
2886,Hydroflumethiazide,DB00774,Hypertensive disease,C0020538,,Approved,,
2904,Propantheline,DB00782,Peptic Ulcer,C0030920,,Approved,,
2922,Aciclovir,DB00787,Herpes Simplex Infections,C0019348,,Approved,,
2926,Naproxen,DB00788,Rheumatoid Arthritis,C0003873,,Approved,,
2937,Naproxen,DB00788,Gout,C0018099,,Approved,,
2939,Naproxen,DB00788,Ankylosing spondylitis,C0038013,,Approved,,
2941,Perindopril,DB00790,Hypertensive disease,C0020538,,Approved,,
2961,Primidone,DB00794,Epilepsy,C0014544,,Approved,,
2987,Gentamicin,DB00798,Rhinoscleroma,C0035468,,Approved,,
3013,Tazarotene,DB00799,Psoriasis,C0033860,,Approved,,
3024,Indapamide,DB00808,Hypertensive disease,C0020538,,Approved,,
3036,Meloxicam,DB00814,Rheumatoid Arthritis,C0003873,,Approved,,
3043,Acetazolamide,DB00819,Absence Epilepsy,C0014553,,Approved,,
3050,Tadalafil,DB00820,Pulmonary Hypertension,C0020542,,Approved,,
3077,Trifluoperazine,DB00831,Schizophrenia,C0036341,,Approved,,
3106,Clocortolone,DB00838,Seborrheic dermatitis,C0036508,,Approved,,
3109,Clocortolone,DB00838,Contact Dermatitis,C0011616,,Approved,,
3115,Clocortolone,DB00838,Granuloma Annulare,C0085074,,Approved,,
3116,Tolazamide,DB00839,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
3126,Clofazimine,DB00845,Pyoderma Gangrenosum,C0085652,,Approved,,
3135,Flurandrenolide,DB00846,Contact Dermatitis,C0011616,,Approved,,
3136,Flurandrenolide,DB00846,Granuloma Annulare,C0085074,,Approved,,
3138,Flurandrenolide,DB00846,Seborrheic dermatitis,C0036508,,Approved,,
3141,Flurandrenolide,DB00846,"Dermatitis, Atopic",C0011615,,Approved,,
3142,Cysteamine,DB00847,Nephropathic cystinosis,C2931187,,Approved,,
3149,Perphenazine,DB00850,Schizophrenia,C0036341,,Approved,,
3162,Pseudoephedrine,DB00852,Rhinitis,C0035455,,Approved,,
3163,Pseudoephedrine,DB00852,Common Cold,C0009443,,Approved,,
3167,Aminolevulinic acid,DB00855,Actinic keratosis,C0022602,,Approved,,
3171,Terbinafine,DB00857,Tinea Versicolor,C0040262,,Approved,,
3197,Prednisolone,DB00860,"Dermatitis, Atopic",C0011615,,Approved,,
3203,Prednisolone,DB00860,Contact Dermatitis,C0011616,,Approved,,
3204,Prednisolone,DB00860,Granuloma Annulare,C0085074,,Approved,,
3207,Prednisolone,DB00860,Seborrheic dermatitis,C0036508,,Approved,,
3209,Prednisolone,DB00860,"Ophthalmia, Sympathetic",C0029077,,Approved,,
3213,Prednisolone,DB00860,Addison Disease,C0001403,,Approved,,
3214,Prednisolone,DB00860,Musculoskeletal Diseases,C0026857,,Approved,,
3218,Prednisolone,DB00860,Synovitis,C0039103,,Approved,,
3222,Prednisolone,DB00860,Sjogren's Syndrome,C1527336,,Approved,,
3225,Prednisolone,DB00860,"Arthritis, Psoriatic",C0003872,,Approved,,
3230,Prednisolone,DB00860,Inflammatory Bowel Diseases,C0021390,,Approved,,
3231,Prednisolone,DB00860,Keratitis,C0022568,,Approved,,
3232,Prednisolone,DB00860,Ankylosing spondylitis,C0038013,,Approved,,
3236,Prednisolone,DB00860,Psoriasis,C0033860,,Approved,,
3246,Prednisolone,DB00860,Adrenogenital disorder,C0701163,,Approved,,
3248,Prednisolone,DB00860,Pemphigus,C0030807,,Approved,,
3256,Prednisolone,DB00860,Giant Cell Arteritis,C0039483,,Approved,,
3258,Prednisolone,DB00860,Sarcoidosis,C0036202,,Approved,,
3265,Prednisolone,DB00860,Rosacea,C0035854,,Approved,,
3267,Prednisolone,DB00860,Thyroiditis,C0040147,,Approved,,
3268,Prednisolone,DB00860,Dermatitis Herpetiformis,C0011608,,Approved,,
3271,Prednisolone,DB00860,Rheumatoid Arthritis,C0003873,,Approved,,
3272,Prednisolone,DB00860,Angioedema,C0002994,,Approved,,
3281,Prednisolone,DB00860,"Tuberculosis, Miliary",C0041321,,Approved,,
3283,Prednisolone,DB00860,Hodgkin Disease,C0019829,,Approved,,
3289,Diflunisal,DB00861,Rheumatoid Arthritis,C0003873,,Approved,,
3294,Ranitidine,DB00863,Duodenal Ulcer,C0013295,,Approved,,
3295,Ranitidine,DB00863,Zollinger-Ellison syndrome,C0043515,,Approved,,
3297,Ranitidine,DB00863,Gastroesophageal reflux disease,C0017168,,Approved,,
3307,Dorzolamide,DB00869,Ocular Hypertension,C0028840,,Approved,,
3310,Terbutaline,DB00871,Dry Eye Syndromes,C0013238,,Approved,,
3329,Guaifenesin,DB00874,Rhinitis,C0035455,,Approved,,
3330,Guaifenesin,DB00874,Common Cold,C0009443,,Approved,,
3338,Eprosartan,DB00876,Hypertensive disease,C0020538,,Approved,,
3339,Sirolimus,DB00877,Renal Cell Carcinoma,C0007134,,Approved,,
3346,Chlorothiazide,DB00880,Hypertensive disease,C0020538,,Approved,,
3348,Quinapril,DB00881,Hypertensive disease,C0020538,,Approved,,
3393,Bimatoprost,DB00905,Ocular Hypertension,C0028840,,Approved,,
3403,Repaglinide,DB00912,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
3408,Amantadine,DB00915,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
3441,Buprenorphine,DB00921,Opiate Addiction,C0524662,,Approved,,
3449,Famotidine,DB00927,Duodenal Ulcer,C0013295,,Approved,,
3450,Famotidine,DB00927,Zollinger-Ellison syndrome,C0043515,,Approved,,
3455,Famotidine,DB00927,Gastroesophageal reflux disease,C0017168,,Approved,,
3470,Salicylic acid,DB00936,Seborrheic dermatitis,C0036508,,Approved,,
3472,Salicylic acid,DB00936,Common Cold,C0009443,,Approved,,
3473,Salicylic acid,DB00936,Plantar wart,C0042548,,Approved,,
3476,Salicylic acid,DB00936,Rheumatoid Arthritis,C0003873,,Approved,,
3480,Salicylic acid,DB00936,Synovitis,C0039103,,Approved,,
3493,Salmeterol,DB00938,Intrinsic asthma,C0155880,,Approved,,
3497,Meclofenamic acid,DB00939,Rheumatoid Arthritis,C0003873,,Approved,,
3506,Acetylsalicylic acid,DB00945,Rheumatoid Arthritis,C0003873,,Approved,,
3512,Acetylsalicylic acid,DB00945,Common Cold,C0009443,,Approved,,
3540,Felbamate,DB00949,Epilepsy,C0014544,,Approved,,
3564,Hydrocodone,DB00956,Rhinitis,C0035455,,Approved,,
3567,Hydrocodone,DB00956,Common Cold,C0009443,,Approved,,
3575,Methylprednisolone,DB00959,Rheumatoid Arthritis,C0003873,,Approved,,
3581,Methylprednisolone,DB00959,"Arthritis, Psoriatic",C0003872,,Approved,,
3582,Methylprednisolone,DB00959,Addison Disease,C0001403,,Approved,,
3589,Methylprednisolone,DB00959,Thyroiditis,C0040147,,Approved,,
3593,Methylprednisolone,DB00959,Hodgkin Disease,C0019829,,Approved,,
3594,Methylprednisolone,DB00959,Dermatitis Herpetiformis,C0011608,,Approved,,
3601,Methylprednisolone,DB00959,Granuloma Annulare,C0085074,,Approved,,
3604,Methylprednisolone,DB00959,Synovitis,C0039103,,Approved,,
3606,Methylprednisolone,DB00959,Adrenogenital disorder,C0701163,,Approved,,
3607,Methylprednisolone,DB00959,Angioedema,C0002994,,Approved,,
3618,Methylprednisolone,DB00959,Seborrheic dermatitis,C0036508,,Approved,,
3619,Methylprednisolone,DB00959,Musculoskeletal Diseases,C0026857,,Approved,,
3620,Methylprednisolone,DB00959,Pemphigus,C0030807,,Approved,,
3621,Methylprednisolone,DB00959,Sarcoidosis,C0036202,,Approved,,
3624,Methylprednisolone,DB00959,Contact Dermatitis,C0011616,,Approved,,
3625,Methylprednisolone,DB00959,Trichinellosis,C0040896,,Approved,,
3629,Methylprednisolone,DB00959,Ankylosing spondylitis,C0038013,,Approved,,
3633,Methylprednisolone,DB00959,Psoriasis,C0033860,,Approved,,
3634,Methylprednisolone,DB00959,"Tuberculosis, Miliary",C0041321,,Approved,,
3637,Methylprednisolone,DB00959,Inflammatory Bowel Diseases,C0021390,,Approved,,
3640,Methylprednisolone,DB00959,"Dermatitis, Atopic",C0011615,,Approved,,
3643,Pindolol,DB00960,Hypertensive disease,C0020538,,Approved,,
3649,Telmisartan,DB00966,Hypertensive disease,C0020538,,Approved,,
3656,Desloratadine,DB00967,Common Cold,C0009443,,Approved,,
3660,Desloratadine,DB00967,Allergic urticaria,C0149526,,Approved,,
3666,Dactinomycin,DB00970,Rhabdomyosarcoma,C0035412,,Approved,,
3684,Dipyridamole,DB00975,Atrial Fibrillation,C0004238,,Approved,,
3706,Isotretinoin,DB00982,Hypertensive disease,C0020538,,Approved,,
3707,Formoterol,DB00983,Intrinsic asthma,C0155880,,Approved,,
3715,Glycopyrronium,DB00986,Peptic Ulcer,C0030920,,Approved,,
3717,Glycopyrronium,DB00986,Chronic Obstructive Airway Disease,C0024117,,Approved,,
3726,Dopamine,DB00988,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
3732,Oxaprozin,DB00991,Rheumatoid Arthritis,C0003873,,Approved,,
3733,Azathioprine,DB00993,Rheumatoid Arthritis,C0003873,,Approved,,
3744,Auranofin,DB00995,Rheumatoid Arthritis,C0003873,,Approved,,
3746,Gabapentin,DB00996,Restless Legs Syndrome,C0035258,,Approved,,
3747,Doxorubicin,DB00997,Hodgkin Disease,C0019829,,Approved,,
3750,Doxorubicin,DB00997,Multiple Myeloma,C0026764,,Approved,,
3758,Doxorubicin,DB00997,Breast Carcinoma,C0678222,,Approved,,
3760,Doxorubicin,DB00997,Small cell carcinoma of lung,C0149925,,Approved,,
3770,Hydrochlorothiazide,DB00999,Hypertensive disease,C0020538,,Approved,,
3782,Cromoglicic acid,DB01003,"Conjunctivitis, Giant Papillary",C0009769,,Approved,,
3784,Cromoglicic acid,DB01003,"Conjunctivitis, Vernal",C0009773,,Approved,,
3787,Cromoglicic acid,DB01003,"Mastocytosis, Systemic",C0221013,,Approved,,
3793,Hydroxyurea,DB01005,"Myeloid Leukemia, Chronic",C0023473,,Approved,,
3802,Ketoprofen,DB01009,Rheumatoid Arthritis,C0003873,,Approved,,
3816,Sulfamethoxazole,DB01015,Nocardia Infections,C0028242,,Approved,,
3820,Sulfamethoxazole,DB01015,Inclusion conjunctivitis,C0009770,,Approved,,
3822,Glyburide,DB01016,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
3862,Guanfacine,DB01018,Hypertensive disease,C0020538,,Approved,,
3870,Felodipine,DB01023,Hypertensive disease,C0020538,,Approved,,
3872,Ketoconazole,DB01026,Oral candidiasis,C0006849,,Approved,,
3874,Ketoconazole,DB01026,Seborrheic dermatitis,C0036508,,Approved,,
3876,Ketoconazole,DB01026,Chromoblastomycosis,C0008582,,Approved,,
3878,Ketoconazole,DB01026,Tinea Versicolor,C0040262,,Approved,,
3884,Ketoconazole,DB01026,Blastomycosis,C0005716,,Approved,,
3886,Ketoconazole,DB01026,Adrenal Gland Hyperfunction,C0001622,,Approved,,
3887,Irbesartan,DB01029,Hypertensive disease,C0020538,,Approved,,
3890,Topotecan,DB01030,Small cell carcinoma of lung,C0149925,,Approved,,
3899,Probenecid,DB01032,Hyperuricemia,C0740394,,Approved,,
3915,Thalidomide,DB01041,Multiple Myeloma,C0026764,,Approved,,
3944,Fluocinonide,DB01047,Seborrheic dermatitis,C0036508,,Approved,,
3946,Fluocinonide,DB01047,Contact Dermatitis,C0011616,,Approved,,
3950,Fluocinonide,DB01047,Granuloma Annulare,C0085074,,Approved,,
3959,Ibuprofen,DB01050,Rheumatoid Arthritis,C0003873,,Approved,,
3969,Benzylpenicillin,DB01053,Botulism,C0006057,,Approved,,
3975,Benzylpenicillin,DB01053,Pasteurella Infections,C0030636,,Approved,,
3976,Benzylpenicillin,DB01053,Yaws,C0043388,,Approved,,
3990,Benzylpenicillin,DB01053,Streptococcal meningitis,C0154639,,Approved,,
4003,Benzylpenicillin,DB01053,Lung Abscess,C0024110,,Approved,,
4006,Benzylpenicillin,DB01053,"Syphilis, tertiary",C0153188,,Approved,,
4012,Benzylpenicillin,DB01053,Anthrax disease,C0003175,,Approved,,
4021,Benzylpenicillin,DB01053,Gastrointestinal anthrax,C0152945,,Approved,,
4063,Norfloxacin,DB01059,Acute maxillary sinusitis,C0155804,,Approved,,
4067,Norfloxacin,DB01059,Rhinoscleroma,C0035468,,Approved,,
4069,Norfloxacin,DB01059,Anthrax disease,C0003175,,Approved,,
4077,Norfloxacin,DB01059,Chancroids,C0007947,,Approved,,
4082,Norfloxacin,DB01059,Pyelonephritis,C0034186,,Approved,,
4100,Norfloxacin,DB01059,Cystitis,C0010692,,Approved,,
4124,Amoxicillin,DB01060,Rhinoscleroma,C0035468,,Approved,,
4158,Isoprenaline,DB01064,Common Cold,C0009443,,Approved,,
4160,Isoprenaline,DB01064,Atrioventricular Block,C0004245,,Approved,,
4173,Glipizide,DB01067,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
4176,Clonazepam,DB01068,Absence Epilepsy,C0014553,,Approved,,
4215,Streptomycin,DB01082,Chancroids,C0007947,,Approved,,
4221,Streptomycin,DB01082,Granuloma Inguinale,C0018190,,Approved,,
4231,Pilocarpine,DB01085,Ocular Hypertension,C0028840,,Approved,,
4243,Butenafine,DB01091,Tinea Versicolor,C0040262,,Approved,,
4250,Fluvastatin,DB01095,Arteriosclerosis,C0003850,,Approved,,
4252,Leflunomide,DB01097,Rheumatoid Arthritis,C0003873,,Approved,,
4253,Leflunomide,DB01097,"Arthritis, Psoriatic",C0003872,,Approved,,
4258,Rosuvastatin,DB01098,Arteriosclerosis,C0003850,,Approved,,
4261,Rosuvastatin,DB01098,Hyperlipoproteinemia Type III,C0020479,,Approved,,
4269,Sertraline,DB01104,"Phobia, Social",C0031572,,Approved,,
4270,Sertraline,DB01104,Obsessive-Compulsive Disorder,C0028768,,Approved,,
4272,Sertraline,DB01104,Post-Traumatic Stress Disorder,C0038436,,Approved,,
4281,Miconazole,DB01110,Diaper Rash,C0011974,,Approved,,
4284,Miconazole,DB01110,Tinea Versicolor,C0040262,,Approved,,
4294,Cefuroxime,DB01112,Acute maxillary sinusitis,C0155804,,Approved,,
4307,Cefuroxime,DB01112,Impetigo,C0021099,,Approved,,
4323,Cefuroxime,DB01112,Rhinoscleroma,C0035468,,Approved,,
4330,Cefuroxime,DB01112,Streptococcal meningitis,C0154639,,Approved,,
4344,Chlorphenamine,DB01114,Common Cold,C0009443,,Approved,,
4347,Nifedipine,DB01115,Hypertensive disease,C0020538,,Approved,,
4355,Diazoxide,DB01119,Nesidioblastosis,C0027773,,Approved,,
4358,Gliclazide,DB01120,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
4362,Tolbutamide,DB01124,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
4366,Econazole,DB01127,Tinea Versicolor,C0040262,,Approved,,
4371,Rabeprazole,DB01129,Zollinger-Ellison syndrome,C0043515,,Approved,,
4372,Rabeprazole,DB01129,"Mastocytosis, Systemic",C0221013,,Approved,,
4373,Rabeprazole,DB01129,Gastroesophageal reflux disease,C0017168,,Approved,,
4374,Rabeprazole,DB01129,Duodenal Ulcer,C0013295,,Approved,,
4375,Rabeprazole,DB01129,Peptic Ulcer,C0030920,,Approved,,
4376,Prednicarbate,DB01130,"Dermatitis, Atopic",C0011615,,Approved,,
4382,Prednicarbate,DB01130,Contact Dermatitis,C0011616,,Approved,,
4383,Prednicarbate,DB01130,Granuloma Annulare,C0085074,,Approved,,
4386,Prednicarbate,DB01130,Seborrheic dermatitis,C0036508,,Approved,,
4389,Pioglitazone,DB01132,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
4392,Carvedilol,DB01136,Hypertensive disease,C0020538,,Approved,,
4399,Levofloxacin,DB01137,Acute maxillary sinusitis,C0155804,,Approved,,
4406,Levofloxacin,DB01137,Anthrax disease,C0003175,,Approved,,
4408,Levofloxacin,DB01137,Pyelonephritis,C0034186,,Approved,,
4514,Bupropion,DB01156,Nicotine Dependence,C0028043,,Approved,,
4525,Terazosin,DB01162,Hypertensive disease,C0020538,,Approved,,
4533,Ofloxacin,DB01165,Pyelonephritis,C0034186,,Approved,,
4535,Ofloxacin,DB01165,Anthrax disease,C0003175,,Approved,,
4557,Ofloxacin,DB01165,Chancroids,C0007947,,Approved,,
4561,Ofloxacin,DB01165,Acute maxillary sinusitis,C0155804,,Approved,,
4572,Ofloxacin,DB01165,Rhinoscleroma,C0035468,,Approved,,
4579,Ofloxacin,DB01165,Cystitis,C0010692,,Approved,,
4613,Itraconazole,DB01167,Blastomycosis,C0005716,,Approved,,
4615,Procarbazine,DB01168,Hodgkin Disease,C0019829,,Approved,,
4623,Kanamycin,DB01172,Meningitis,C0025289,,Approved,,
4635,Phenobarbital,DB01174,Epilepsy,C0014544,,Approved,,
4642,Escitalopram,DB01175,Generalized Anxiety Disorder,C0270549,,Approved,,
4651,Cyclizine,DB01176,Common Cold,C0009443,,Approved,,
4657,Ifosfamide,DB01181,Testicular Germ Cell Tumor,C1336708,,Approved,,
4662,Naloxone,DB01183,Opiate Addiction,C0524662,,Approved,,
4666,Fluoxymesterone,DB01185,Noonan Syndrome,C0028326,,Approved,,
4669,Fluoxymesterone,DB01185,Cryptorchidism,C0010417,,Approved,,
4670,Fluoxymesterone,DB01185,Klinefelter Syndrome,C0022735,,Approved,,
4679,Ciclopirox,DB01188,Tinea Versicolor,C0040262,,Approved,,
4681,Ciclopirox,DB01188,Seborrheic dermatitis,C0036508,,Approved,,
4707,Acebutolol,DB01193,Hypertensive disease,C0020538,,Approved,,
4709,Brinzolamide,DB01194,Ocular Hypertension,C0028840,,Approved,,
4715,Captopril,DB01197,Hypertensive disease,C0020538,,Approved,,
4718,Bromocriptine,DB01200,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
4721,Bromocriptine,DB01200,Hyperprolactinemia,C0020514,,Approved,,
4726,Nadolol,DB01203,Hypertensive disease,C0020538,,Approved,,
4729,Mitoxantrone,DB01204,"Multiple Sclerosis, Relapsing-Remitting",C0751967,,Approved,,
4730,Lomustine,DB01206,Hodgkin Disease,C0019829,,Approved,,
4740,Levobunolol,DB01210,Ocular Hypertension,C0028840,,Approved,,
4742,Clarithromycin,DB01211,Acute maxillary sinusitis,C0155804,,Approved,,
4767,Ceftriaxone,DB01212,Chancroids,C0007947,,Approved,,
4777,Ceftriaxone,DB01212,Rhinoscleroma,C0035468,,Approved,,
4781,Ceftriaxone,DB01212,Streptococcal meningitis,C0154639,,Approved,,
4817,Metipranolol,DB01214,Ocular Hypertension,C0028840,,Approved,,
4822,Dantrolene,DB01219,Malignant hyperpyrexia due to anesthesia,C0024591,,Approved,,
4832,Aminophylline,DB01223,Lung diseases,C0024115,,Approved,,
4841,Quetiapine,DB01224,Schizophrenia,C0036341,,Approved,,
4853,Paclitaxel,DB01229,Ocular Hypertension,C0028840,,Approved,,
4854,Paclitaxel,DB01229,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
4855,Paclitaxel,DB01229,Hypertensive disease,C0020538,,Approved,,
4856,Paclitaxel,DB01229,Breast Carcinoma,C0678222,,Approved,,
4860,Metoclopramide,DB01233,Gastroesophageal reflux disease,C0017168,,Approved,,
4866,Dexamethasone,DB01234,Dermatitis Herpetiformis,C0011608,,Approved,,
4877,Dexamethasone,DB01234,Angioedema,C0002994,,Approved,,
4885,Dexamethasone,DB01234,Inflammatory Bowel Diseases,C0021390,,Approved,,
4889,Dexamethasone,DB01234,Ankylosing spondylitis,C0038013,,Approved,,
4895,Dexamethasone,DB01234,Trichinellosis,C0040896,,Approved,,
4897,Dexamethasone,DB01234,Addison Disease,C0001403,,Approved,,
4899,Dexamethasone,DB01234,Adrenogenital disorder,C0701163,,Approved,,
4900,Dexamethasone,DB01234,"Dermatitis, Atopic",C0011615,,Approved,,
4902,Dexamethasone,DB01234,Hodgkin Disease,C0019829,,Approved,,
4903,Dexamethasone,DB01234,"Tuberculosis, Miliary",C0041321,,Approved,,
4906,Dexamethasone,DB01234,Psoriasis,C0033860,,Approved,,
4908,Dexamethasone,DB01234,Granuloma Annulare,C0085074,,Approved,,
4911,Dexamethasone,DB01234,Seborrheic dermatitis,C0036508,,Approved,,
4913,Dexamethasone,DB01234,Rheumatoid Arthritis,C0003873,,Approved,,
4914,Dexamethasone,DB01234,Sarcoidosis,C0036202,,Approved,,
4915,Dexamethasone,DB01234,Thyroiditis,C0040147,,Approved,,
4916,Dexamethasone,DB01234,Multiple Myeloma,C0026764,,Approved,,
4918,Dexamethasone,DB01234,Contact Dermatitis,C0011616,,Approved,,
4922,Dexamethasone,DB01234,Pemphigus,C0030807,,Approved,,
4928,Dexamethasone,DB01234,Keratitis,C0022568,,Approved,,
4933,Dexamethasone,DB01234,Rosacea,C0035854,,Approved,,
4936,Dexamethasone,DB01234,Musculoskeletal Diseases,C0026857,,Approved,,
4941,Dexamethasone,DB01234,"Arthritis, Psoriatic",C0003872,,Approved,,
4944,Dexamethasone,DB01234,Anterior uveitis,C0042165,,Approved,,
4950,Levodopa,DB01235,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
4959,Aripiprazole,DB01238,Mixed bipolar I disorder,C0236780,,Approved,,
4960,Aripiprazole,DB01238,Schizophrenia,C0036341,,Approved,,
4964,Epoprostenol,DB01240,Pulmonary Hypertension,C0020542,,Approved,,
4969,Epoprostenol,DB01240,Rhinitis,C0035455,,Approved,,
4970,Epoprostenol,DB01240,Common Cold,C0009443,,Approved,,
4972,Clomipramine,DB01242,Obsessive-Compulsive Disorder,C0028768,,Approved,,
4980,Alimemazine,DB01246,Angioedema,C0002994,,Approved,,
4987,Docetaxel,DB01248,Breast Carcinoma,C0678222,,Approved,,
4988,Docetaxel,DB01248,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
5008,Desonide,DB01260,Seborrheic dermatitis,C0036508,,Approved,,
5011,Desonide,DB01260,Granuloma Annulare,C0085074,,Approved,,
5021,Desonide,DB01260,Contact Dermatitis,C0011616,,Approved,,
5023,Sitagliptin,DB01261,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
5027,Posaconazole,DB01263,Chromoblastomycosis,C0008582,,Approved,,
5030,Posaconazole,DB01263,Candidiasis,C0006840,,Approved,,
5036,Paliperidone,DB01267,Schizophrenia,C0036341,,Approved,,
5038,Sunitinib,DB01268,Gastrointestinal Stromal Tumors,C0238198,,Approved,,
5039,Sunitinib,DB01268,Renal Cell Carcinoma,C0007134,,Approved,,
5052,Hydralazine,DB01275,Hypertensive disease,C0020538,,Approved,,
5066,Pirbuterol,DB01291,Lung diseases,C0024115,,Approved,,
5067,Pirbuterol,DB01291,Bronchiectasis,C0006267,,Approved,,
5080,Fosphenytoin,DB01320,Epilepsy,C0014544,,Approved,,
5081,Polythiazide,DB01324,Hypertensive disease,C0020538,,Approved,,
5166,Cefoxitin,DB01331,Rhinoscleroma,C0035468,,Approved,,
5181,Cefoxitin,DB01331,Lung Abscess,C0024110,,Approved,,
5196,Ceftizoxime,DB01332,Rhinoscleroma,C0035468,,Approved,,
5203,Ceftizoxime,DB01332,Meningitis,C0025289,,Approved,,
5222,Ceftizoxime,DB01332,Streptococcal meningitis,C0154639,,Approved,,
5252,Cilazapril,DB01340,Hypertensive disease,C0020538,,Approved,,
5256,Amobarbital,DB01351,Epilepsy,C0014544,,Approved,,
5276,Penbutolol,DB01359,Hypertensive disease,C0020538,,Approved,,
5289,Ephedrine,DB01364,Rhinitis,C0035455,,Approved,,
5292,Ephedrine,DB01364,Common Cold,C0009443,,Approved,,
5401,Colchicine,DB01394,Familial Mediterranean Fever,C0031069,,Approved,,
5402,Colchicine,DB01394,Gout,C0018099,,Approved,,
5420,Salsalate,DB01399,Rheumatoid Arthritis,C0003873,,Approved,,
5424,Danazol,DB01406,Endometriosis,C0014175,,Approved,,
5456,Cefpodoxime,DB01416,Acute maxillary sinusitis,C0155804,,Approved,,
5513,Oxprenolol,DB01580,Hypertensive disease,C0020538,,Approved,,
5521,Everolimus,DB01590,Renal Cell Carcinoma,C0007134,,Approved,,
5522,Everolimus,DB01590,Breast Carcinoma,C0678222,,Approved,,
5575,Tiaprofenic acid,DB01600,Rheumatoid Arthritis,C0003873,,Approved,,
5600,Ticarcillin,DB01607,Lung Abscess,C0024110,,Approved,,
5610,Ticarcillin,DB01607,Rhinoscleroma,C0035468,,Approved,,
5636,Hydroxychloroquine,DB01611,Ovale malaria,C0152072,,Approved,,
5637,Hydroxychloroquine,DB01611,Rheumatoid Arthritis,C0003873,,Approved,,
5639,Hydroxychloroquine,DB01611,Quartan malaria,C0024536,,Approved,,
5643,Molindone,DB01618,Schizophrenia,C0036341,,Approved,,
5673,Thiothixene,DB01623,Schizophrenia,C0036341,,Approved,,
5692,Cholic Acid,DB02659,"Xanthomatosis, Cerebrotendinous",C0238052,,Approved,,
5701,Fusidic Acid,DB02703,Rosacea,C0035854,,Approved,,
5706,Fusidic Acid,DB02703,Anthrax disease,C0003175,,Approved,,
