,Drug_id,Not_indicated_for
1151,DB00749,C0025289
1152,DB00749,C0030920
1153,DB00749,C0002994
1154,DB00749,C0010692
1155,DB00749,C0035455
1156,DB00749,C0020538
1157,DB00451,C0020550
1158,DB00451,C0002994
1159,DB00790,C0030807
1160,DB00790,C0033860
1161,DB00790,C0018099
1162,DB00790,C0002994
1163,DB00790,C0035455
1164,DB00790,C0020538
1165,DB00338,C0013238
1166,DB00338,C0740394
1167,DB00338,C0017168
1168,DB00338,C0006840
1169,DB00338,C0002994
1170,DB00338,C0043515
1171,DB00338,C0010692
1172,DB00338,C0035455
1173,DB00338,C0020538
1174,DB00736,C0013238
1175,DB00736,C0740394
1176,DB00736,C0017168
1177,DB00736,C0006840
1178,DB00736,C0002994
1179,DB00736,C0043515
1180,DB00736,C0010692
1181,DB00736,C0035455
1182,DB00736,C0020538
1183,DB01047,C0011616
1184,DB00945,C0030920
1185,DB00945,C0018099
1186,DB00945,C0002994
1187,DB00945,C0020538
1188,DB00368,C0020538
1189,DB00398,C0020550
1190,DB00398,C0017168
1191,DB00398,C0002994
1192,DB00398,C0020538
1193,DB01115,C0004238
1194,DB01115,C0018099
1195,DB01115,C0017168
1196,DB01115,C0002994
1197,DB01115,C0035455
1198,DB08877,C0026764
1199,DB00876,C0019348
1200,DB00876,C0004238
1201,DB00876,C0018099
1202,DB00876,C0002994
1203,DB00876,C0010692
1204,DB00876,C0035455
1205,DB00433,C0014553
1206,DB00433,C0002994
1207,DB00433,C0002453
1208,DB00433,C0011616
1209,DB00492,C0030807
1210,DB00492,C0018099
1211,DB00492,C0013274
1212,DB00492,C0002994
1213,DB00492,C0035455
1214,DB00492,C0020538
1215,DB00319,C0006840
1216,DB00938,C0004238
1217,DB00938,C0009443
1218,DB00938,C0006849
1219,DB00938,C0011615
1220,DB00938,C0006840
1221,DB00938,C0002994
1222,DB00938,C0024117
1223,DB00938,C0035455
1224,DB00938,C0022568
1225,DB00938,C0020538
1226,DB00938,C0011616
1227,DB01175,C0035258
1228,DB01175,C0025281
1229,DB01175,C0013295
1230,DB01175,C0003850
1231,DB01175,C0003873
1232,DB01175,C0019348
1233,DB01175,C0014553
1234,DB01175,C0034186
1235,DB01175,C0033860
1236,DB01175,C0004238
1237,DB01175,C0020550
1238,DB01175,C0028768
1239,DB01175,C0018099
1240,DB01175,C0017168
1241,DB01175,C0011615
1242,DB01175,C0021141
1243,DB01175,C0006840
1244,DB01175,C0020542
1245,DB01175,C0002994
1246,DB01175,C0002453
1247,DB01175,C0010692
1248,DB01175,C0270549
1249,DB01175,C0020514
1250,DB01175,C0035455
1251,DB01175,C0022568
1252,DB01175,C0021099
1253,DB01175,C0020538
1254,DB01175,C0040147
1255,DB01175,C0011616
1256,DB01364,C0020538
1257,DB00312,C0002994
1258,DB01085,C0019348
1259,DB01085,C0036508
1260,DB01085,C0004245
1261,DB01085,C0006840
1262,DB01085,C0035455
1263,DB01085,C0022568
1264,DB01085,C0020538
1265,DB01085,C0011616
1266,DB00476,C0035258
1267,DB00476,C1527336
1268,DB00476,C0004238
1269,DB00476,C0021141
1270,DB00476,C0002994
1271,DB00476,C0020514
1272,DB00476,C0020538
1273,DB00476,C0011616
1274,DB00641,C0026857
1275,DB00641,C0004238
1276,DB00641,C0002994
1277,DB00327,C0740394
1278,DB00327,C0024115
1279,DB00327,C0017168
1280,DB00327,C0002994
1281,DB00327,C0001403
1282,DB00327,C0035455
1283,DB00327,C0020538
1284,DB08819,C0009443
1285,DB08819,C0035455
1286,DB06212,C0740394
1287,DB00563,C0740394
1288,DB00563,C0024115
1289,DB00563,C0019348
1290,DB00563,C0033860
1291,DB00563,C0028242
1292,DB00563,C0010692
1293,DB00563,C0024117
1294,DB00788,C0021390
1295,DB00788,C0740394
1296,DB00788,C0024115
1297,DB00788,C0019348
1298,DB00788,C0678222
1299,DB00788,C0034186
1300,DB00788,C0030920
1301,DB00788,C0002994
1302,DB00788,C0010692
1303,DB00788,C0035455
1304,DB00788,C0022568
1305,DB00788,C0020538
1306,DB00788,C0011616
1307,DB01340,C0030807
1308,DB01340,C0004245
1309,DB01340,C0004238
1310,DB01340,C0011644
1311,DB01340,C0018099
1312,DB01340,C0002994
1313,DB01340,C0035455
1314,DB01340,C0020538
1315,DB00419,C0026857
1316,DB01248,C0013295
1317,DB01248,C0678222
1318,DB01248,C0004238
1319,DB01248,C0011644
1320,DB01248,C0006849
1321,DB01248,C0011615
1322,DB01248,C0006840
1323,DB01248,C0002453
1324,DB01248,C0035455
1325,DB01248,C0020538
1326,DB00240,C0011616
1327,DB00490,C0035258
1328,DB00490,C0002994
1329,DB00490,C0002453
1330,DB00490,C0020538
1331,DB01068,C0019348
1332,DB01068,C0018099
1333,DB01068,C0006840
1334,DB01068,C0002994
1335,DB01068,C0010692
1336,DB01068,C0035455
1337,DB01068,C0011616
1338,DB01246,C0004245
1339,DB01246,C0002453
1340,DB01246,C0020514
1341,DB00277,C0740394
1342,DB00277,C0004238
1343,DB00277,C0030920
1344,DB00277,C0017168
1345,DB00277,C0021141
1346,DB00277,C0011616
1347,DB06216,C0035258
1348,DB06216,C0036341
1349,DB06216,C0002994
1350,DB06216,C0002453
1351,DB06216,C0020514
1352,DB06216,C0020538
1353,DB00740,C0024115
1354,DB00740,C0003873
1355,DB00740,C0036508
1356,DB00740,C0034186
1357,DB00740,C0033860
1358,DB00740,C0004238
1359,DB00740,C0018099
1360,DB00740,C0006849
1361,DB00740,C0006840
1362,DB00740,C0002994
1363,DB00740,C0002453
1364,DB00740,C0035455
1365,DB00740,C0020538
1366,DB00740,C0011616
1367,DB01238,C0035258
1368,DB01238,C0740394
1369,DB01238,C0013295
1370,DB01238,C0003873
1371,DB01238,C0019348
1372,DB01238,C0036508
1373,DB01238,C0030807
1374,DB01238,C0034186
1375,DB01238,C0033860
1376,DB01238,C0004245
1377,DB01238,C0004238
1378,DB01238,C0030920
1379,DB01238,C0020550
1380,DB01238,C0028768
1381,DB01238,C0018099
1382,DB01238,C0006849
1383,DB01238,C0017168
1384,DB01238,C0011860
1385,DB01238,C0006840
1386,DB01238,C0002994
1387,DB01238,C0002453
1388,DB01238,C0010692
1389,DB01238,C0035854
1390,DB01238,C0024117
1391,DB01238,C0035455
1392,DB01238,C0014544
1393,DB01238,C0020538
1394,DB00341,C0019348
1395,DB00341,C0036508
1396,DB00341,C0002994
1397,DB00341,C0010692
1398,DB00341,C0035455
1399,DB00341,C0020538
1400,DB06698,C0011615
1401,DB06698,C0002994
1402,DB01268,C0740394
1403,DB01268,C0020550
1404,DB01268,C0006849
1405,DB01268,C0017168
1406,DB01268,C0006840
1407,DB01268,C0002994
1408,DB01268,C0085652
1409,DB01268,C0020538
1410,DB01268,C0040147
1411,DB01091,C0011616
1412,DB01132,C0002994
1413,DB01132,C0020538
1414,DB00542,C0030807
1415,DB00542,C0002994
1416,DB00542,C0035455
1417,DB00223,C0011616
1418,DB00798,C0020538
1419,DB00730,C1527336
1420,DB00730,C0002994
1421,DB00927,C0004245
1422,DB00927,C0002994
1423,DB01359,C0004245
1424,DB00666,C0019348
1425,DB00666,C0036508
1426,DB00666,C0010692
1427,DB00666,C0035455
1428,DB00544,C0019348
1429,DB00544,C0009443
1430,DB00544,C0035455
1431,DB00544,C0011616
1432,DB00622,C0004245
1433,DB00622,C0004238
1434,DB00622,C0035455
1435,DB00622,C0020538
1436,DB00915,C0022568
1437,DB00915,C0020538
1438,DB00956,C0017168
1439,DB00734,C0026857
1440,DB00734,C0035258
1441,DB00734,C0740394
1442,DB00734,C0036202
1443,DB00734,C0036508
1444,DB00734,C0033860
1445,DB00734,C0004245
1446,DB00734,C0004238
1447,DB00734,C0017168
1448,DB00734,C0021141
1449,DB00734,C0002994
1450,DB00734,C0002453
1451,DB00734,C0010692
1452,DB00734,C0020514
1453,DB00734,C0035455
1454,DB00734,C0020538
1455,DB00734,C0019243
1456,DB01059,C0002994
1457,DB00413,C0740394
1458,DB00413,C0013295
1459,DB00413,C0003850
1460,DB00413,C0003873
1461,DB00413,C0019348
1462,DB00413,C0036508
1463,DB00413,C0034186
1464,DB00413,C0033860
1465,DB00413,C0004238
1466,DB00413,C0020550
1467,DB00413,C0028768
1468,DB00413,C0018099
1469,DB00413,C0006849
1470,DB00413,C0017168
1471,DB00413,C0021141
1472,DB00413,C0006840
1473,DB00413,C0002453
1474,DB00413,C0010692
1475,DB00413,C0035854
1476,DB00413,C0024117
1477,DB00413,C0035455
1478,DB00413,C0022568
1479,DB00413,C0026764
1480,DB00413,C0023434
1481,DB00413,C0476089
1482,DB00413,C0020538
1483,DB00413,C0011616
1484,DB00531,C0740394
1485,DB00531,C0027145
1486,DB00531,C0004238
1487,DB00531,C0011644
1488,DB00531,C0021141
1489,DB00531,C0007134
1490,DB00531,C0020542
1491,DB00531,C0002453
1492,DB00531,C0010692
1493,DB00531,C0282488
1494,DB00531,C0027022
1495,DB00531,C0035455
1496,DB00531,C0020538
1497,DB00559,C0026857
1498,DB00559,C0035258
1499,DB00559,C0013295
1500,DB00559,C0004238
1501,DB00559,C0018099
1502,DB00559,C0017168
1503,DB00559,C0020542
1504,DB00559,C0002994
1505,DB00559,C0010692
1506,DB00222,C0021141
1507,DB00222,C0002994
1508,DB00222,C0020538
1509,DB00493,C0006840
1510,DB00493,C0002994
1511,DB04861,C0033860
1512,DB04861,C0004245
1513,DB04861,C0002994
1514,DB00774,C0740394
1515,DB00381,C0004238
1516,DB00381,C0002994
1517,DB00381,C0024117
1518,DB00381,C0035455
1519,DB00343,C0740394
1520,DB00343,C0034186
1521,DB00343,C0004245
1522,DB00343,C0018099
1523,DB00343,C0002994
1524,DB00343,C0010692
1525,DB00343,C0035455
1526,DB00343,C0011616
1527,DB00695,C0740394
1528,DB00695,C0018099
1529,DB00695,C0013274
1530,DB00624,C0036508
1531,DB00624,C0017168
1532,DB00624,C0011615
1533,DB00624,C0002994
1534,DB00624,C0002453
1535,DB00624,C0349464
1536,DB00624,C0035854
1537,DB00624,C0024117
1538,DB00624,C0035455
1539,DB00624,C0020538
1540,DB00624,C0011616
1541,DB00571,C0004245
1542,DB00575,C0025289
1543,DB00575,C0004245
1544,DB00575,C0002994
1545,DB00575,C0035455
1546,DB00575,C0011616
1547,DB01185,C0036508
1548,DB01185,C0002453
1549,DB00584,C0030807
1550,DB00584,C0004238
1551,DB00584,C0018099
1552,DB00584,C0021141
1553,DB00584,C0002994
1554,DB00445,C0740394
1555,DB00445,C0024115
1556,DB00445,C0019348
1557,DB00445,C0036508
1558,DB00445,C0033860
1559,DB00445,C0004245
1560,DB00445,C0006849
1561,DB00445,C0011615
1562,DB00445,C0006840
1563,DB00445,C0002453
1564,DB00445,C0010692
1565,DB00445,C0035455
1566,DB00445,C0022568
1567,DB00445,C0020538
1568,DB00445,C0011616
1569,DB01136,C0740394
1570,DB01136,C0024115
1571,DB01136,C0033860
1572,DB01136,C0004245
1573,DB01136,C0004238
1574,DB01136,C0018099
1575,DB01136,C0002994
1576,DB01136,C0035455
1577,DB01136,C0020538
1578,DB00602,C0008526
1579,DB00602,C0036508
1580,DB00602,C0039103
1581,DB00602,C0022568
1582,DB00602,C0042165
1583,DB01174,C0002994
1584,DB00668,C0020538
1585,DB01320,C0025289
1586,DB01320,C0035455
1587,DB01320,C0020538
1588,DB01320,C0011616
1589,DB00880,C0740394
1590,DB00253,C0001622
1591,DB00253,C0022568
1592,DB00253,C0042165
1593,DB06203,C0002994
1594,DB00388,C0004245
1595,DB00388,C0022568
1596,DB00388,C0020538
1597,DB00936,C0013295
1598,DB00881,C0030807
1599,DB00881,C0002994
1600,DB00741,C0025289
1601,DB00741,C0030920
1602,DB00741,C0036341
1603,DB00741,C0002994
1604,DB00741,C0002453
1605,DB00741,C0014544
1606,DB00741,C0020538
1607,DB00741,C0011616
1608,DB00995,C0002994
1609,DB00905,C0009443
1610,DB00905,C0010692
1611,DB00905,C0024117
1612,DB00905,C0035455
1613,DB00905,C0022568
1614,DB00905,C0020538
1615,DB01260,C0011616
1616,DB00215,C0035258
1617,DB00215,C0025281
1618,DB00215,C0013295
1619,DB00215,C0003850
1620,DB00215,C0003873
1621,DB00215,C0019348
1622,DB00215,C0014553
1623,DB00215,C0034186
1624,DB00215,C0033860
1625,DB00215,C0004238
1626,DB00215,C0020550
1627,DB00215,C0028768
1628,DB00215,C0018099
1629,DB00215,C0017168
1630,DB00215,C0011615
1631,DB00215,C0021141
1632,DB00215,C0006840
1633,DB00215,C0020542
1634,DB00215,C0002994
1635,DB00215,C0002453
1636,DB00215,C0010692
1637,DB00215,C0270549
1638,DB00215,C0020514
1639,DB00215,C0035455
1640,DB00215,C0022568
1641,DB00215,C0021099
1642,DB00215,C0020538
1643,DB00215,C0040147
1644,DB00215,C0011616
1645,DB00860,C0025289
1646,DB00860,C0019348
1647,DB00860,C0001622
1648,DB00860,C0030920
1649,DB00860,C0011615
1650,DB00860,C0002994
1651,DB00860,C0022568
1652,DB00860,C0042165
1653,DB00860,C0020538
1654,DB00857,C0033860
1655,DB00857,C0002994
1656,DB00857,C0011616
1657,DB01212,C0011615
1658,DB01212,C0006840
1659,DB00438,C0006849
1660,DB00438,C0011615
1661,DB00438,C0006840
1662,DB00438,C0002994
1663,DB01399,C0002994
1664,DB00196,C0019348
1665,DB00196,C0002994
1666,DB00196,C0020538
1667,DB04920,C0004238
1668,DB00678,C0740394
1669,DB00678,C0004238
1670,DB00678,C0018099
1671,DB00678,C0002994
1672,DB00678,C0035455
1673,DB01188,C0011616
1674,DB01009,C1527336
1675,DB01009,C0030920
1676,DB01009,C0002994
1677,DB01009,C0035455
1678,DB01009,C0020538
1679,DB00855,C0019348
1680,DB00855,C0036508
1681,DB01623,C0002453
1682,DB01623,C0020514
1683,DB01623,C0011616
1684,DB00455,C0002994
1685,DB00455,C0020538
1686,DB00246,C0035258
1687,DB00246,C0740394
1688,DB00246,C0033860
1689,DB00246,C0004245
1690,DB00246,C0004238
1691,DB00246,C0020550
1692,DB00246,C0018099
1693,DB00246,C0017168
1694,DB00246,C0011615
1695,DB00246,C0002994
1696,DB00246,C0002453
1697,DB00246,C0020514
1698,DB00246,C0035455
1699,DB00246,C0022568
1700,DB00246,C0020538
1701,DB00246,C0040147
1702,DB00246,C0011616
1703,DB00519,C0740394
1704,DB00519,C0030807
1705,DB00519,C0033860
1706,DB00519,C0004245
1707,DB00519,C0018099
1708,DB00519,C0002994
1709,DB00519,C0035455
1710,DB00586,C0025289
1711,DB00586,C0003850
1712,DB00586,C0003873
1713,DB00586,C0019348
1714,DB00586,C0036508
1715,DB00586,C0030920
1716,DB00586,C0018099
1717,DB00586,C0011615
1718,DB00586,C0002994
1719,DB00586,C0010692
1720,DB00586,C0035455
1721,DB00586,C0022568
1722,DB00586,C0020538
1723,DB00586,C0011616
1724,DB01067,C0021141
1725,DB01067,C0035455
1726,DB01067,C0020538
1727,DB00187,C0033860
1728,DB00187,C0004245
1729,DB00187,C0009443
1730,DB00187,C0002994
1731,DB00187,C0035455
1732,DB00608,C0002994
1733,DB00218,C0022575
1734,DB00218,C0740394
1735,DB00218,C0024115
1736,DB00218,C0019348
1737,DB00218,C0033860
1738,DB00218,C0004238
1739,DB00218,C0018099
1740,DB00218,C0006849
1741,DB00218,C0017168
1742,DB00218,C0011615
1743,DB00218,C0006840
1744,DB00218,C0002994
1745,DB00218,C0010692
1746,DB00218,C0035455
1747,DB00218,C0042998
1748,DB00218,C0022568
1749,DB00218,C0020538
1750,DB01026,C0022575
1751,DB01026,C0036508
1752,DB01026,C0002994
1753,DB01026,C0021099
1754,DB01026,C0011616
1755,DB08901,C0740394
1756,DB08901,C0004238
1757,DB08901,C0017168
1758,DB08901,C0020538
1759,DB00227,C0002994
1760,DB00331,C0035455
1761,DB00331,C0020538
1762,DB00960,C0026857
1763,DB00960,C0033860
1764,DB00960,C0004245
1765,DB00960,C0022568
1766,DB00541,C0740394
1767,DB00541,C0021141
1768,DB00541,C0020538
1769,DB00846,C0011616
1770,DB00967,C0002994
1771,DB00389,C0002994
1772,DB00684,C0024115
1773,DB00684,C0002994
1774,DB00684,C0035455
1775,DB00684,C0022568
1776,DB00845,C0010692
1777,DB00949,C0004238
1778,DB00949,C0017168
1779,DB00949,C0021141
1780,DB00949,C0035455
1781,DB00949,C0020538
1782,DB00401,C0019348
1783,DB00401,C0004238
1784,DB00401,C0018099
1785,DB00401,C0002994
1786,DB00401,C0035455
1787,DB00401,C0022568
1788,DB00401,C0040147
1789,DB00547,C0033860
1790,DB00547,C0011616
1791,DB00996,C0013295
1792,DB00996,C0024115
1793,DB00996,C0019348
1794,DB00996,C0036508
1795,DB00996,C0034186
1796,DB00996,C0033860
1797,DB00996,C0004245
1798,DB00996,C0004238
1799,DB00996,C0030920
1800,DB00996,C0020550
1801,DB00996,C0018099
1802,DB00996,C0006849
1803,DB00996,C0006840
1804,DB00996,C0002994
1805,DB00996,C0002453
1806,DB00996,C0010692
1807,DB00996,C0035455
1808,DB00996,C0014544
1809,DB00996,C0020538
1810,DB00091,C0740394
1811,DB00091,C0003873
1812,DB00091,C0019829
1813,DB00091,C0019348
1814,DB00091,C0034186
1815,DB00091,C0033860
1816,DB00091,C0030920
1817,DB00091,C0018099
1818,DB00091,C0006840
1819,DB00091,C0002994
1820,DB00091,C0002453
1821,DB00091,C0035455
1822,DB00091,C0020538
1823,DB00195,C0740394
1824,DB00195,C0033860
1825,DB00195,C0004245
1826,DB00195,C0020550
1827,DB00195,C0018099
1828,DB00195,C0010692
1829,DB00195,C0035455
1830,DB00195,C0022568
1831,DB00997,C0740394
1832,DB00997,C0024115
1833,DB00997,C0019348
1834,DB00997,C0036508
1835,DB00997,C0033860
1836,DB00997,C0004245
1837,DB00997,C0006849
1838,DB00997,C0011615
1839,DB00997,C0006840
1840,DB00997,C0002453
1841,DB00997,C0010692
1842,DB00997,C0035455
1843,DB00997,C0022568
1844,DB00997,C0020538
1845,DB00997,C0011616
1846,DB00724,C0019348
1847,DB00724,C0033860
1848,DB00724,C0004238
1849,DB00724,C0018099
1850,DB00724,C0017168
1851,DB00724,C0022602
1852,DB00724,C0002994
1853,DB00724,C0035455
1854,DB00724,C0020538
1855,DB00724,C0040147
1856,DB08897,C0035455
1857,DB00207,C0009443
1858,DB00207,C0006849
1859,DB00207,C0011615
1860,DB00207,C0006840
1861,DB00207,C0002994
1862,DB00207,C0035455
1863,DB00207,C0020538
1864,DB00207,C0011616
1865,DB01119,C0018099
1866,DB01119,C0020538
1867,DB01050,C0013295
1868,DB01050,C0030920
1869,DB01050,C0017168
1870,DB01050,C0020542
1871,DB01050,C0002994
1872,DB01050,C0010692
1873,DB01050,C0035455
1874,DB01050,C0020538
1875,DB00687,C0030920
1876,DB00687,C0011615
1877,DB00687,C0002453
1878,DB00687,C0020538
1879,DB00661,C0004245
1880,DB00661,C0002994
1881,DB00661,C0020514
1882,DB00661,C0035455
1883,DB00661,C0020538
1884,DB00966,C0740394
1885,DB00966,C0024115
1886,DB00966,C0004238
1887,DB00966,C0018099
1888,DB00966,C0017168
1889,DB00966,C0002994
1890,DB00966,C0010692
1891,DB00966,C0035455
1892,DB00966,C0020538
1893,DB00912,C0035455
1894,DB00912,C0020538
1895,DB00472,C0740394
1896,DB00472,C0013295
1897,DB00472,C0003873
1898,DB00472,C0019348
1899,DB00472,C0036508
1900,DB00472,C0034186
1901,DB00472,C0033860
1902,DB00472,C0004245
1903,DB00472,C0004238
1904,DB00472,C0030920
1905,DB00472,C0020550
1906,DB00472,C0018099
1907,DB00472,C0021141
1908,DB00472,C0006840
1909,DB00472,C0020542
1910,DB00472,C0002994
1911,DB00472,C0002453
1912,DB00472,C0010692
1913,DB00472,C0020514
1914,DB00472,C0035455
1915,DB00472,C0020538
1916,DB00472,C0011616
1917,DB01224,C0035258
1918,DB01224,C0036508
1919,DB01224,C0033860
1920,DB01224,C0004238
1921,DB01224,C0020550
1922,DB01224,C0018099
1923,DB01224,C0017168
1924,DB01224,C0036341
1925,DB01224,C0021141
1926,DB01224,C0006840
1927,DB01224,C0002994
1928,DB01224,C0002453
1929,DB01224,C0010692
1930,DB01224,C0020514
1931,DB01224,C0035455
1932,DB01224,C0042998
1933,DB01224,C0020538
1934,DB01224,C0011616
1935,DB04946,C0035258
1936,DB04946,C0013295
1937,DB04946,C0028768
1938,DB04946,C0017168
1939,DB04946,C0002453
1940,DB01618,C0002453
1941,DB00355,C0006840
1942,DB00355,C0002994
1943,DB00443,C0025289
1944,DB00443,C0019348
1945,DB00443,C0030920
1946,DB00443,C0036341
1947,DB00443,C0002994
1948,DB00443,C0002453
1949,DB00443,C0022568
1950,DB00443,C0028840
1951,DB00443,C0014544
1952,DB00443,C0020538
1953,DB00443,C0011616
1954,DB00477,C0014553
1955,DB00477,C0002994
1956,DB00477,C0002453
1957,DB00477,C0011616
1958,DB01219,C0004245
1959,DB01219,C0020538
1960,DB00552,C0024115
1961,DB00552,C0019348
1962,DB00552,C0004245
1963,DB00552,C0018099
1964,DB00552,C0006840
1965,DB00552,C0002453
1966,DB00552,C0035455
1967,DB00552,C0020538
1968,DB00838,C0011616
